subject_id,partner_id,session_date,session_time,subject_note,session_note
170,168,09/03/2017,15:30,,
171,169,09/03/2017,15:30,,
172,174,09/03/2017,15:30,,
173,175,09/03/2017,15:30,,
174,172,09/03/2017,15:30,,
175,173,09/03/2017,15:30,,
176,178,09/03/2017,15:30,,
177,179,09/03/2017,15:30,,
178,176,09/03/2017,15:30,,
179,177,09/03/2017,15:30,,
180,181,09/03/2017,15:30,,
181,180,09/03/2017,15:30,,
182,183,09/03/2017,15:30,,
183,182,09/03/2017,15:30,"kept asking if he is doing it right, why he is seing the same image, is this it?",
184,186,10/03/2017,11:30,,
185,187,10/03/2017,11:30,"computer froze during training, had to refresh browser",
186,184,10/03/2017,11:30,,
187,185,10/03/2017,11:30,,
188,190,10/03/2017,11:30,,
189,191,10/03/2017,11:30,,
190,188,10/03/2017,11:30,,
191,189,10/03/2017,11:30,,
192,,10/03/2017,16:00,,
193,,10/03/2017,16:00,,
194,,10/03/2017,16:00,,
195,,10/03/2017,16:00,,
196,197,10/03/2017,11:30,,
197,196,10/03/2017,11:30,,
198,199,10/03/2017,11:30,,
199,198,10/03/2017,11:30,,
200,201,10/03/2017,11:30,,
201,200,10/03/2017,11:30,,
202,203,10/03/2017,11:30,,
203,202,10/03/2017,11:30,,
204,206,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
205,207,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
206,204,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
207,205,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
208,210,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
209,211,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
210,208,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
211,209,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
212,214,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
213,215,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
214,212,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
215,213,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
216,217,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
217,216,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
218,219,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
219,218,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
220,221,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
221,220,10/03/2017,13:30,,"at beginning of session, many questions asked abiout how to answer best"
222,,09/03/2017,11:30,,
223,,09/03/2017,11:30,,
